# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A6B22::libc.so.6  48 83 FE 1F             cmp rsi, 0x1f
0x7F9AD43A6B26::libc.so.6  77 48                   jnbe 0x7f9ad43a6b70
0x7F9AD43A6B28::libc.so.6  41 BE 20 00 00 00       mov r14d, 0x20
0x7F9AD43A6B2E::libc.so.6  48 83 FA BF             cmp rdx, 0xffffffffffffffbf
0x7F9AD43A6B32::libc.so.6  76 65                   jbe 0x7f9ad43a6b99
0x7F9AD43A6B70::libc.so.6  48 8D 46 FF             lea rax, ptr [rsi-0x1]
0x7F9AD43A6B74::libc.so.6  48 85 F0                test rax, rsi
0x7F9AD43A6B77::libc.so.6  74 B5                   jz 0x7f9ad43a6b2e
0x7F9AD43A6B79::libc.so.6  48 83 FE 20             cmp rsi, 0x20
0x7F9AD43A6B7D::libc.so.6  74 AF                   jz 0x7f9ad43a6b2e
0x7F9AD43A6B7F::libc.so.6  B8 20 00 00 00          mov eax, 0x20
0x7F9AD43A6B84::libc.so.6  0F 1F 40 00             nop dword ptr [rax], eax
0x7F9AD43A6B88::libc.so.6  48 01 C0                add rax, rax
0x7F9AD43A6B8B::libc.so.6  49 39 C6                cmp r14, rax
0x7F9AD43A6B8E::libc.so.6  77 F8                   jnbe 0x7f9ad43a6b88
0x7F9AD43A6B2E::libc.so.6  48 83 FA BF             cmp rdx, 0xffffffffffffffbf
0x7F9AD43A6B32::libc.so.6  76 65                   jbe 0x7f9ad43a6b99
0x7F9AD43A6B34::libc.so.6  48 8B 05 5D 04 30 00    mov rax, qword ptr [rip+0x30045d]
0x7F9AD43A6B3B::libc.so.6  64 C7 00 0C 00 00 00    mov dword ptr fs:[rax], 0xc
0x7F9AD43A6B42::libc.so.6  31 C0                   xor eax, eax
0x7F9AD43A6B44::libc.so.6  48 8B 5C 24 08          mov rbx, qword ptr [rsp+0x8]
0x7F9AD43A6B49::libc.so.6  48 8B 6C 24 10          mov rbp, qword ptr [rsp+0x10]
0x7F9AD43A6B4E::libc.so.6  4C 8B 64 24 18          mov r12, qword ptr [rsp+0x18]
0x7F9AD43A6B53::libc.so.6  4C 8B 6C 24 20          mov r13, qword ptr [rsp+0x20]
0x7F9AD43A6B58::libc.so.6  4C 8B 74 24 28          mov r14, qword ptr [rsp+0x28]
0x7F9AD43A6B5D::libc.so.6  4C 8B 7C 24 30          mov r15, qword ptr [rsp+0x30]
0x7F9AD43A6B62::libc.so.6  48 83 C4 38             add rsp, 0x38
0x7F9AD43A6B66::libc.so.6  C3                      ret
0x7F9AD43A6B99::libc.so.6  48 83 C2 17             add rdx, 0x17
0x7F9AD43A6B9D::libc.so.6  BB 20 00 00 00          mov ebx, 0x20
0x7F9AD43A6BA2::libc.so.6  48 89 EF                mov rdi, rbp
0x7F9AD43A6BA5::libc.so.6  48 89 D0                mov rax, rdx
0x7F9AD43A6BA8::libc.so.6  48 83 E0 F0             and rax, 0xfffffffffffffff0
0x7F9AD43A6BAC::libc.so.6  48 83 FA 1F             cmp rdx, 0x1f
0x7F9AD43A6BB0::libc.so.6  48 0F 47 D8             cmovnbe rbx, rax
0x7F9AD43A6BB4::libc.so.6  4A 8D 74 33 20          lea rsi, ptr [rbx+r14*1+0x20]
0x7F9AD43A6BB9::libc.so.6  E8 32 E2 FF FF          call 0x7f9ad43a4df0 -> malloc_trim
0x7F9AD43A4DF0::libc.so.6  48 89 6C 24 D8          mov qword ptr [rsp-0x28], rbp
0x7F9AD43A4DF5::libc.so.6  4C 89 6C 24 E8          mov qword ptr [rsp-0x18], r13
0x7F9AD43A4DFA::libc.so.6  48 89 FD                mov rbp, rdi
0x7F9AD43A4DFD::libc.so.6  48 89 5C 24 D0          mov qword ptr [rsp-0x30], rbx
0x7F9AD43A4E02::libc.so.6  4C 89 64 24 E0          mov qword ptr [rsp-0x20], r12
0x7F9AD43A4E07::libc.so.6  49 89 F5                mov r13, rsi
0x7F9AD43A4E0A::libc.so.6  4C 89 74 24 F0          mov qword ptr [rsp-0x10], r14
0x7F9AD43A4E0F::libc.so.6  4C 89 7C 24 F8          mov qword ptr [rsp-0x8], r15
0x7F9AD43A4E14::libc.so.6  48 81 EC A8 00 00 00    sub rsp, 0xa8
0x7F9AD43A4E1B::libc.so.6  48 83 FE BF             cmp rsi, 0xffffffffffffffbf
0x7F9AD43A4E1F::libc.so.6  0F 87 CB 04 00 00       jnbe 0x7f9ad43a52f0
0x7F9AD43A4E25::libc.so.6  48 8D 46 17             lea rax, ptr [rsi+0x17]
0x7F9AD43A4E29::libc.so.6  BB 20 00 00 00          mov ebx, 0x20
0x7F9AD43A4E2E::libc.so.6  48 89 C2                mov rdx, rax
0x7F9AD43A4E31::libc.so.6  48 83 E2 F0             and rdx, 0xfffffffffffffff0
0x7F9AD43A4E35::libc.so.6  48 83 F8 1F             cmp rax, 0x1f
0x7F9AD43A4E39::libc.so.6  48 0F 47 DA             cmovnbe rbx, rdx
0x7F9AD43A4E3D::libc.so.6  48 3B 1D CC 48 30 00    cmp rbx, qword ptr [rip+0x3048cc]
0x7F9AD43A4E44::libc.so.6  0F 87 86 00 00 00       jnbe 0x7f9ad43a4ed0
0x7F9AD43A4E4A::libc.so.6  89 DA                   mov edx, ebx
0x7F9AD43A4E4C::libc.so.6  C1 EA 04                shr edx, 0x4
0x7F9AD43A4E4F::libc.so.6  83 EA 02                sub edx, 0x2
0x7F9AD43A4E52::libc.so.6  89 D0                   mov eax, edx
0x7F9AD43A4E54::libc.so.6  4C 8B 7C C7 08          mov r15, qword ptr [rdi+rax*8+0x8]
0x7F9AD43A4E59::libc.so.6  4C 8D 4C C7 08          lea r9, ptr [rdi+rax*8+0x8]
